Firm,Revenue,Person Name,Title,Location
FTI Consulting,$3.7B,Steven H. Gunby,CEO and Chairman,Washington, DC
FTI Consulting,$3.7B,Ajay Sabherwal,Chief Financial Officer,Washington, DC
FTI Consulting,$3.7B,Curtis Lu,General Counsel,Washington, DC
FTI Consulting,$3.7B,Matthew Pachman,VP, Chief Risk and Compliance Officer,Washington, DC
FTI Consulting,$3.7B,Paul Linton,Chief Strategy and Transformation Officer,Washington, DC
Baker Tilly US (Combined with Moss Adams),$3.0B,Jeff Ferro,CEO (until retirement),Chicago, IL
Baker Tilly US (Combined with Moss Adams),$3.0B,Eric Miles,CEO-elect,Seattle, WA
Baker Tilly US (Combined with Moss Adams),$3.0B,Sonia Webb,Chief Financial Officer,San Ramon, CA
Baker Tilly US (Combined with Moss Adams),$3.0B,Amy Ward,Chief People Officer,
Baker Tilly US (Combined with Moss Adams),$3.0B,Jean Mathews,Former CFO (now at CRI),Chicago, IL
Crowe LLP,$1.25B,Steven Strammello,CEO,Chicago, IL
Crowe LLP,$1.25B,Michael Giammalvo,Chief Operating Officer,Nashville, TN
Crowe LLP,$1.25B,Ray Calvey,CFO,Chicago, IL
Crowe LLP,$1.25B,Jeff Schmidt,Chief Technology Officer,
Crowe LLP,$1.25B,Katie Hamada,Chief People Officer,
CohnReznick LLP,$1.2B,David Kessler,CEO,Bethesda, MD
CohnReznick LLP,$1.2B,Leonard Korn,Chief Financial Officer,New York, NY
CohnReznick LLP,$1.2B,Philip Mandel,Partner in Charge, Global Markets,Roseland, NJ
CohnReznick LLP,$1.2B,Swami Venkat,CFO Advisory Leader,New York, NY
CohnReznick LLP,$1.2B,Eric Wade,Managing Director – CFO Advisory,Charlotte, NC
EisnerAmper LLP,$855M,Korhan Kivanc,Chief Financial Officer,New York, NY
EisnerAmper LLP,$855M,Julie Munn-Sims,Partner, Energy Sector CFO Advisory,Houston, TX
EisnerAmper LLP,$855M,Candice Wilson,Managing Director, Energy CFO Advisory,Houston, TX
EisnerAmper LLP,$855M,Mark Staley,Managing Partner, Advisory Practice,
Armanino LLP,$747M,Matt Armanino,CEO,San Ramon, CA
Armanino LLP,$747M,John Kogan,Chief Financial Officer,San Ramon, CA
Armanino LLP,$747M,Chris Siegfried,Former CFO (now tech leader),
Citrin Cooperman,$674M,Joel Cooperman,Executive Chairman,New York, NY
Citrin Cooperman,$674M,Alan Badey,CEO,New York, NY
Citrin Cooperman,$674M,Lawrence Diamond,Chief Financial Officer,New York, NY
Citrin Cooperman,$674M,Kenny Li,CTO/Principal,
Citrin Cooperman,$674M,Glenn Spoto,Partner, Advisory,New York, NY
Wipfli LLP,$590M,Kurt Gresens,Managing Partner/CEO,Eau Claire, WI
Wipfli LLP,$590M,Jeff Thill,Chief Financial Officer,St. Paul, MN
Wipfli LLP,$590M,Jeff Kowieski,Chief Operating Officer,Eau Claire, WI
Grant Thornton US,$400M,Jim Peko,CEO,Chicago, IL
Grant Thornton US,$400M,Rick Surett,Chief Financial Officer,New York, NY
Grant Thornton US,$400M,Elliott Findlay,Chief Operating Officer,Chicago, IL
Grant Thornton US,$400M,Paul Melville,National Managing Principal – CFO Advisory,Chicago, IL
RSM US LLP,$500M+,Brian Becker,Managing Partner & CEO,Chicago, IL
RSM US LLP,$500M+,Jiten Shah,Chief Financial Officer,New York Metro
RSM US LLP,$500M+,Sam Mascareno,Chief Operating Officer,
RSM US LLP,$500M+,Addison Blackwell,National CFO Advisory Leader,
RSM US LLP,$500M+,Doug Opheim,Former CFO,
Moss Adams LLP,$820M,Eric Miles,CEO (now CEO-elect at Baker Tilly),Seattle, WA
Moss Adams LLP,$820M,Dave Follett,President and COO,Seattle, WA
Moss Adams LLP,$820M,Rebecca Pomering,Chief Practice Officer,Seattle, WA
Moss Adams LLP,$820M,Jeff Brown,Chief Risk Officer,
